term,class
diakui,positif
penghargaan,positif
kecerdasan,positif
kekaguman,positif
mengagumi,positif
pengagum,positif
mengakui,positif
memuja,positif
gesit,positif
tangkas,positif
sanjungan,positif
berguna,positif
ramah,positif
serasi,positif
keramahan,positif
menenangkan,positif
menarik,positif
mahakuasa,positif
menakjubkan,positif
takjub,positif
damai,positif
cinta,positif
menghibur,positif
salut,positif
menghargai,positif
apresiasi,positif
bergairah,positif
semangat,positif
gairah,positif
membangkitkan,positif
tekun,positif
cerdik,positif
rajin,positif
terpesona,positif
cantik,positif
indah,positif
mempercantik,positif
keindahan,positif
cocok,positif
menolong,positif
terpercaya,positif
tercinta,positif
bermanfaat,positif
menguntungkan,positif
kebajikan,positif
terbaik,positif
memberkati,positif
kebahagiaan,positif
bahagia,positif
gembira,positif
membanggakan,positif
berani,positif
keberanian,positif
mendukung,positif
dermawan,positif
cerdas,positif
cemerlang,positif
jujur,positif
keterusterangan,positif
menawan,positif
pesona,positif
riang,positif
merayakan,positif
perayaan,positif
karismatik,positif
apik,positif
suci,positif
dihargai,positif
elok,positif
kesopanan,positif
pintar,positif
molek,positif
memuji,positif
terpuji,positif
pujian,positif
gratis,positif
mendamaikan,positif
memaafkan,positif
yakin,positif
teliti,positif
peka,positif
keteguhan,positif
sempurna,positif
kepuasan,positif
nyaman,positif
benar,positif
sopan,positif
idaman,positif
kreatif,positif
lucu,positif
sayang,positif
gagah,positif
gigih,positif
mempesona,positif
cekatan,positif
lezat,positif
menyenangkan,positif
layak,positif
pemuja,positif
kesetiaan,positif
bermartabat,positif
martabat,positif
terhormat,positif
ilahi,positif
kesungguhan,positif
kegembiraan,positif
keanggunan,positif
anggun,positif
elegan,positif
fasih,positif
memperindah,positif
keunggulan,positif
nikmat,positif
kenikmatan,positif
memuliakan,positif
memikat,positif
antusiasme,positif
penggemar,positif
antusias,positif
mengagumkan,positif
terpelajar,positif
etis,positif
kekal,positif
agung,positif
unggul,positif
mulia,positif
meriangkan,positif
menggembirakan,positif
tepat,positif
fantastis,positif
modern,positif
favorit,positif
membahagiakan,positif
keademan,positif
bergembira,positif
halus,positif
menyanjung,positif
subur,positif
menyukai,positif
kesukaan,positif
diampuni,positif
pengampunan,positif
ketabahan,positif
beruntung,positif
untung,positif
harum,positif
kesenangan,positif
keriangan,positif
berlaba,positif
berbakat,positif
senang,positif
kebaikan,positif
rahmat,positif
keagungan,positif
syukur,positif
memuaskan,positif
menyapa,positif
tenang,positif
sehat,positif
tampan,positif
rindu,positif
harmonis,positif
menyelaraskan,positif
tulus,positif
surgawi,positif
pahlawan,positif
heroik,positif
srikandi,positif
ria,positif
meriah,positif
penghormatan,positif
menghormati,positif
harapan,positif
kelucuan,positif
bercanda,positif
mengidolakan,positif
termasyhur,positif
rapi,positif
impresif,positif
mengesankan,positif
terampil,positif
kecerdikan,positif
manis,positif
berwawasan,positif
inspirasi,positif
inspirasional,positif
integritas,positif
menariknya,positif
menyegarkan,positif
bergurau,positif
periang,positif
sukacita,positif
bijaksana,positif
adil,positif
kebebasan,positif
lincah,positif
luhur,positif
kecantikan,positif
keberuntungan,positif
kilau,positif
megah,positif
keajaiban,positif
lembut,positif
penyayang,positif
kuat,positif
mukjizat,positif
termotivasi,positif
bagus,positif
baik,positif
ketaatan,positif
taat,positif
patuh,positif
mentaati,positif
oke,positif
optimisme,positif
mengalahkan,positif
telaten,positif
enak,positif
kesabaran,positif
sabar,positif
patriotik,positif
kesempurnaan,positif
ketekunan,positif
bertekun,positif
fenomenal,positif
saleh,positif
puitis,positif
positif,positif
ampuh,positif
istimewa,positif
hadiah,positif
cakap,positif
mahir,positif
menjanjikan,positif
mujur,positif
bangga,positif
kecakapan,positif
asyik,positif
direkomendasikan,positif
segar,positif
menikmati,positif
kemasyhuran,positif
bertobat,positif
tobat,positif
pandai,positif
hormat,positif
pahala,positif
kebenaran,positif
romantis,positif
kebijaksanaan,positif
kesucian,positif
menghormat,positif
keselamatan,positif
optimis,positif
mulus,positif
sensasional,positif
ketenangan,positif
berkilauan,positif
kesederhanaan,positif
terpintar,positif
tersenyum,positif
supel,positif
perhatian,positif
spektakuler,positif
memukau,positif
hebat,positif
kemegahan,positif
bersih,positif
sigap,positif
setia,positif
tabah,positif
giat,positif
keuletan,positif
berterimakasih,positif
kebersamaan,positif
kemenangan,positif
kepercayaan,positif
bersahaja,positif
berharga,positif
bersemangat,positif
berseri,positif
visioner,positif
jenaka,positif
kelayakan,positif
karisma,positif
menasihati,positif
bermoral,positif
tawa,positif
teduh,positif
simpati,positif
menyantuni,positif
pedih,negatif
masam,negatif
memalukan,negatif
